Câu hỏi ,Trả lời,Phân Loại ,Sample
Đoàn Khoa giúp gì cho Sinh viên?,"Đoàn Khoa Điện - Điện tử thực hiện Công tác Đoàn và Phong Trào Thanh niên trong Khoa cũng như cho SV toàn trường như Công tác phát triển Đoàn, Đảng; tổ chức các buổi sinh hoạt chính trị, xã hội, hoạt động cộng đồng như thời sự chính trị xã hội, thể thao, văn nghệ, cuộc thi học thuật, hội thảo, tham quan công ty, câu lạc bộ Điện - Điện tử, câu lạc bộ anh văn, lớp kỹ năng, vệ sinh môi trường hiến máu nhân đạo,  hoạt động tình nguyện khác,...",Học tập và Tài Liệu học tập,Sinh viên có được hỗ trợ gì từ Ban Đoàn Khoa?
Các địa chỉ Facebook của Đoàn Khoa?,"Đoàn TN Hội SV Khoa Điện - Điện Tử SPKT, Đoàn- Hội Khoa Điện-Điện Tử, Câu lạc bộ Điện - Điện tử SPKT, ""Robot tìm đường trong mê cung"" - Khoa Dien - Dien Tu - DHSPKT Tp.HCM, Nhóm trung kiên ĐH SPKT, Sinh viên Khoa Điện - Điện tử (ĐH SPKT TPHCM)",Học tập và Tài Liệu học tập,Xin vui lòng cung cấp các địa chỉ Facebook chính thức của Ban Đoàn Khoa.
"Em đăng ký sư phạm, em được miễn học phí, vậy nếu em bị học lại thì em có phải đóng học phí không?","Nếu SV học CTĐT đại học chính qui có sư phạm thì các môn học lần thứ nhất sẽ không phải đóng học phí, nhưng các lần học sau (do thi không đạt yêu cầu tín chỉ theo học hoặc cải thiện điểm) thì phải đóng tiền học phí",Học phí và Chính sách Tài chính,"Tôi đăng ký chương trình sư phạm và được miễn học phí. Nếu tôi bị học lại, liệu tôi có phải đóng học phí?"
Việc xét học bổng cho học kỳ 2 kỳ rồi có cần dựa vào điểm học kỳ hè không?,"Học bổng khuyến khích học tập học kỳ 1/ sẽ lấy kết quả học tập, rèn luyện .. ở học kỳ 2 trước năm học mới của SV (nếu SV có đăng ký học hè, kết quả học hè sẽ tính vào học kỳ 2 năm học)",Trợ cấp và Công tác xã hội,"Khi xét học bổng cho học kỳ thứ 2, liệu điểm học kỳ hè có được xem xét không?"
Ban đại diện lớp làm tốt nhiệm vụ được ưu đãi những gì?,"Ban đại diện lớp hoàn thành nhiệm vụ của năm học sẽ được cộng điểm rèn luyện, được nhà trường khen thưởng, riêng với khóa 2018 trở về sau, ban đại diện lớp sẽ được tính ngày CTXH (từ 1 đến 2 ngày CTXH) tùy theo mức độ hoàn thành nhiệm vụ.",Học tập và Tài Liệu học tập,Ban đại diện lớp được ưu đãi gì khi hoàn thành nhiệm vụ của họ?
"Em là con chế độ chính sách, vậy nếu học lại em có phải đóng học phí không? ","Nếu SV học lại, hoặc học các môn học ngoài chương trình đào tạo thì phải đóng tiền học phí. ",Học tập và Tài Liệu học tập,"Tôi là người thuộc chế độ chính sách, nếu tôi phải học lại, liệu tôi có phải đóng học phí không? Nếu tôi không tốt nghiệp đúng tiến độ, thời gian học tối đa là bao nhiêu kỳ?"
"Em ở vùng có điều kiện khó khăn, thôn nghèo, thì em được hưởng chính sách ưu tiên nào không? ","Hàng năm, vào HK 1 SV nộp hồ sơ xét miễn giảm học phí tại văn phòng khoa từ đầu HK 1 đến hết tháng 10; HK2 SV nộp hồ sơ từ đầu HK 2 đến hết tháng 4.",Trợ cấp và Công tác xã hội,"Tôi ở một vùng khó khăn, thôn nghèo. Có chính sách ưu tiên nào áp dụng cho tôi và tôi nên tìm hiểu ở đâu?"
"Khi gặp khó khăn về tài chính, sinh viên phải làm sao để vượt qua?",Ở các trường đại học đều sẽ có những Quỹ hỗ trợ cho sinh viên có hoàn cảnh khó khăn.,Trợ cấp và Công tác xã hội,"khi gặp khó khăn về tài chính, sinh viên nên làm thế nào để vượt qua?"
Khi sinh viên bị quên mật khẩu truy cập tài khoản online thì phục hồi như thế nào?,Sinh viên phải liên hệ Trung Tâm Thông Tin để phục hồi mật khẩu.,Học tập và Tài Liệu học tập,"Nếu sinh viên quên mật khẩu truy cập tài khoản trực tuyến, thì quy trình phục hồi là gì?"
"Sinh viên có được nghỉ học các ngày nghỉ của quốc gia hay không (30/4, 1/5, 2/9,...)","Thông thường thì sinh viên được nghỉ các ngày lễ quốc gia (30/4, 1/5, 2/9,...) trừ các trường hợp ngoại lệ",Học tập và Tài Liệu học tập,"Có cho phép sinh viên nghỉ học vào các ngày nghỉ quốc gia như 30/4, 1/5, 2/9, không?"
"học sinh có thể xin giấy xác nhận học sinh, sinh viên ở đâu?","Sinh viên có thể xin giấy xác nhận học sinh, sinh viên ở Phòng công tác học sinh sinh viên ở lầu 2 tòa nhà trung tâm.",Học tập và Tài Liệu học tập,Học sinh và sinh viên có thể yêu cầu xin giấy xác nhận học tại đâu?
Nếu sinh viên có thắc mắc thì có thể liên lạc ở đâu?,"Sinh viên có thể liên hệ ban tư vấn viên của Khoa trực thuộc hoặc của Trường thông qua email, facebook, hoặc gọi điện thoại trực tiếp…",Học tập và Tài Liệu học tập,"Nếu sinh viên có thắc mắc, họ có thể liên hệ ở đâu để được giải đáp?"
"Trong học tập, nếu gặp các vấn đề khó, không giải được, sinh viên có thể hỏi ở đâu?","Sinh viên có thể nhờ các bạn trong lớp, hoặc liên hệ trực tiếp với Thầy(Cô) dạy môn đó, hoặc có thể liên hệ gặp Trợ giảng, hoặc liên hệ với Ban tư vấn SV của khoa,…",Học tập và Tài Liệu học tập,"Trong quá trình học tập, nếu gặp vấn đề khó khăn không thể tự giải quyết, sinh viên có thể tìm kiếm sự hỗ trợ ở đâu?"
Điều kiện để sinh viên được làm luận văn tốt nghiệp ngành Công nghệ môi trường?,"Cho đến thời điểm này, tất cả sinh viên ngành công nghệ môi trường nếu đến thời điểm làm luận văn có tổng số tín chỉ tích lũy đủ theo Quy chế 43 đều được Khoa cho thực hiện luận văn tốt nghiệp. ",Học tập và Tài Liệu học tập,Quy định nào cần thỏa mãn để sinh viên được phép thực hiện luận văn tốt nghiệp trong ngành Công nghệ môi trường?
Học ngành công nghệ môi trường sinh viên sẽ được học những môn/kỹ năng gì?,"Khả năng điều hành và làm việc nhóm, Khả năng giao tiếp bằng văn bản, phương tiện điện tử, thuyết trình, đàm phán, Khả năng giao tiếp bằng ngoại ngữ.",Học tập và Tài Liệu học tập,"Trong ngành công nghệ môi trường, sinh viên sẽ học những môn học và kỹ năng gì?"
Cách tìm kiếm tài liệu?,"Có rất nhiều nguồn để tìm kiếm tài liệu. Chẳng hạn là trong thư viện, tài liệu do giáo viên phát, trên mạng, trên các trang web chuyên ngành, các bài báo bằng tiếng việt, tiếng anh… ",Học tập và Tài Liệu học tập,Làm thế nào để tìm kiếm tài liệu liên quan đến chủ đề của bạn?
Ngành công nghệ môi trường của trường có bậc đào tạo cao đẳng không ?,"Hiện tại, trường không có đào tạo bậc cao đẳng ngành công nghệ môi trường. ",Học tập và Tài Liệu học tập,Liệu ngành công nghệ môi trường ở trường có chương trình đào tạo bậc cao đẳng không?
Ngành công nghê môi trường có những thế mạnh nào?,"môi trường không còn là vấn đề của một địa phương hay một quốc gia nào nữa mà đã trở thành mối quan tâm chung của toàn nhân loại, một vấn đề toàn cầu ,",Học tập và Tài Liệu học tập,Ngành công nghệ môi trường có những điểm mạnh gì?
Cơ hội việc làm sau khi tốt nghiệp ngành công nghệ kỹ thuật môi trường?,"nhu cầu nguồn nhân lực được đào tạo các chuyên ngành tài nguyên và môi trường bổ sung lực lượng công chức, viên chức đang công tác đơn vị quản lý nhà nước, đơn vị sự nghiệp giai đoạn 2011 - 2015 lên đến 45.000 người. Nhu cầu nguồn lực tại môi trường doanh nghiệp trong giai đoạn 2012-2015 là 30.000 người. Giai đoạn 2016-2020 tiếp tục mở rộng và nâng cao chất lượng nguốn nhân lực này cho tất cả các lĩnh vực",Học tập và Tài Liệu học tập,"Sau khi tốt nghiệp ngành công nghệ kỹ thuật môi trường, cơ hội việc làm là gì?"
Điều kiện để được thực tập và bảo vệ khoá luận sớm của sinh viên ngành kinh tế?,"Điều kiện thực tập sớm: hoàn thành 85% tổng số tín chỉ. Điều kiện bảo vệ khoá luận sớm: thoả mãn đồng thời các điều kiện sau, Không còn nợ môn nào, điểm trung bình các môn từ 6.5 trở lên tính cho 7 học kỳ, điểm báo cáo thực tập từ 7 điểm trở lên, tổng số sinh viên bảo vệ khoá luận sớm phải đủ để thành lập hội đồng (5SV trở lên), Các điều kiện trên có thể thay đổi theo từng năm",Học tập và Tài Liệu học tập,Điều kiện để được tham gia thực tập và bảo vệ luận văn sớm cho sinh viên trong ngành kinh tế là gì?
Sự khác nhau giữa ngành CNTT và Hệ thống thông tin?,"Ngành Công nghệ thông tin (CNTT) tập trung vào việc phát triển phần mềm và ứng dụng máy tính, trong khi Hệ thống thông tin tập trung vào việc sử dụng công nghệ thông tin để quản lý thông tin và hoạt động kinh doanh của tổ chức.",Học tập và Tài Liệu học tập,Sự khác nhau giữa ngành CNTT và Hệ thống thông tin?
Khoa học dữ liệu thuộc ngành CNTT hay Hệ thống thông tin?,Khoa học dữ liệu thường được coi là một phần của ngành Công nghệ thông tin vì nó tập trung vào việc phân tích và xử lý dữ liệu thông qua các công nghệ và phần mềm máy tính.,Học tập và Tài Liệu học tập,Khoa học dữ liệu có là một chuyên ngành của CNTT?
Sinh viên có được phép huỷ các môn học thực tập đã có trong thời khoá biểu cứng của sinh viên hay không?,Sinh viên được phép huỷ các môn học được phép huỷ các môn học thực tập (chưa học lý thuyết) đã có trong thời khoá biểu cứng của sinh viên. Sinh viên làm đơn xin huỷ nộp cho thư ký Khoa ĐT CLC trong thời gian cho phép đăng ký môn học.,Học tập và Tài Liệu học tập,Có thể huỷ đăng ký các môn học thực tập (mà chưa có phần lý thuyết) có trong thời khóa biểu cứng của sinh viên được không?
Điều kiện để đăng ký làm đồ án tốt nghiệp ngành Cơ điện tử?,"Tùy theo từng ngành, từng khóa mà có yêu cầu khác nhau. Điều kiện cho khóa 2009, 2010 và 2011 như sau:Ngành Cơ điện tử: yêu cầu phải đạt môn Đồ án Cơ điện tử và tích lũy đủ số tín chỉ tối thiểu (165 tín chỉ với khối A và 185 tín chỉ với hệ SPKT).",Học tập và Tài Liệu học tập,Điều kiện để đăng ký thực hiện đồ án tốt nghiệp trong ngành Cơ Điện tử là gì?
"Em đã làm đơn thay thế môn học ngành Cơ điện tử và thi đạt, tại sao trong bảng điểm môn học đó vẫn chưa đạt? ",ất cả các môn học Sinh viên học đều được in trong bảng điểm. Với những môn học tương đương thì điểm lấy cao nhất trong các lần thi. Riêng các môn học làm đơn thay thế để xét tốt nghiệp sau này thì trong bảng điểm in toàn bộ các môn đã từng học.,Học tập và Tài Liệu học tập,"Tôi đã nộp đơn xin thay thế môn học trong ngành Cơ Điện tử và đã thi đạt, tại sao trong bảng điểm vẫn ghi là chưa đạt?"
Điểm giảng viên công bố trên lớp và điểm trong bảng điểm không khớp nhau,Sinh viên liên hệ thư ký Khoa để xem lại bảng điểm gốc của Giảng viên nộp. Phòng Đào tạo và Khoa sẽ phối hợp để giải quyết khiếu nại điểm cho sinh viên nếu có sự không khớp nhau giữa điểm trong bảng điểm gốc của Giảng viên và điểm trên mạng.,Học tập và Tài Liệu học tập,Tại sao điểm do giảng viên công bố trên lớp không khớp với điểm trong bảng điểm hoặc điểm trên mạng?
Sự khác biệt giữa Công nghệ phần mềm và Khoa học dữ liệu?,"Công nghệ phần mềm tập trung vào phát triển và quản lý phần mềm, trong khi Khoa học dữ liệu tập trung vào phân tích dữ liệu để đưa ra thông tin và dự đoán.",Học tập và Tài Liệu học tập,Khoa học dữ liệu và Công nghệ phần mềm khác nhau như thế nào?
Thích nghiên cứu nên theo chuyên ngành Công nghệ phần mềm hay Khoa học dữ liệu?,"Nếu bạn thích nghiên cứu, Khoa học dữ liệu có thể phù hợp hơn vì nó tập trung vào việc phân tích dữ liệu và tạo ra kiến thức mới từ các mô hình và phương pháp phân tích dữ liệu.",Học tập và Tài Liệu học tập,Nếu thích nghiên cứu nên theo chuyên ngành nào?
Tại sao SV Lớp CLC không được đăng ký học lại với lớp đại trà?,"Học phí học lại của SV lớp CLC khác lớp Đại trà , Học lại với lớp Đại trà sẽ không đảm bảo về cơ sở vật chất (không đầy đủ trang thiết bị; sĩ số đông…) , Học lại với lớp đại trà chỉ ưu tiên cho SV năm cuối; SV ở học kỳ kéo dài. Các trường hợp khác, làm đơn trình Phòng ĐT xem xét và giải quyết",Học tập và Tài Liệu học tập,Tại sao sinh viên lớp CLC không được phép đăng ký học lại với lớp đại trà?
Bao lâu thì sinh viên sẽ chọn chuyên ngành theo ngành học?,"Ở nhiều trường đại học, sinh viên thường bắt đầu chọn chuyên ngành vào cuối năm thứ hai hoặc đầu năm thứ ba của chương trình đào tạo.",Học tập và Tài Liệu học tập,Thường thì khoảng thời gian nào sẽ chọn chuyên ngành?
Học bổng đặc biệt của Khoa CLC xét như thế nào?,"Có kết quả học tập cao nhất lớp (từ 7,00 trở lên và không rớt môn nào) , Không bị kỷ luật bất cứ hình thức nào  , Không vi phạm nội quy của Khoa,Điểm rèn luyện từ loại Khá (70 điểm) trở lên, Tham gia hoạt động công tác xã hội (tập thể hoặc cá nhân)",Trợ cấp và Công tác xã hội,Quy trình xét học bổng đặc biệt của Khoa CLC như thế nào?
